G_GAN,G_L1,D_loss,
27.925,1186.785,-5.989,
28.505,601.761,-3.036,
30.446,653.571,-7.524,
22.864,403.043,-1.609,
26.123,655.249,-2.561,
22.066,2228.232,-8.156,
21.944,2310.869,-2.262,
25.623,2257.208,-4.579,
26.528,2363.991,-7.858,
20.410,2340.097,-6.582,
23.370,696.236,-4.105,
21.132,786.750,-4.760,
21.993,2344.342,-8.112,
20.709,573.092,-3.152,
20.618,645.163,-2.468,
16.597,413.696,-2.481,
16.122,2353.631,-2.299,
14.066,470.790,-1.910,
18.762,2049.299,-2.880,
17.529,486.027,-2.704,
17.720,588.740,-2.855,
15.707,684.918,-6.661,
15.060,554.897,-6.087,
15.709,558.101,-2.166,
15.503,2223.837,-3.547,
16.012,1932.082,-6.989,
12.421,2020.932,-2.503,
15.215,606.371,-7.652,
15.638,518.879,-1.674,
12.936,589.428,-5.838,
5.805,711.532,-1.465,
11.351,596.785,-1.515,
12.224,2252.028,-1.859,
10.901,509.070,-1.808,
10.199,2293.567,-5.321,
9.728,515.329,-3.244,
9.025,657.540,-6.343,
12.950,2116.029,-1.676,
6.150,659.376,-2.833,
10.145,2050.303,-2.764,
8.839,2362.446,-6.279,
9.618,2087.136,-3.312,
12.618,2366.139,-8.957,
6.056,504.542,-6.589,
5.217,467.413,-5.738,
6.356,790.544,-5.371,
10.310,636.425,-6.932,
10.870,2256.095,-2.615,
10.284,2348.165,-6.584,
9.167,2498.448,-2.902,
10.459,2143.297,-7.522,
10.085,469.396,-2.526,
7.508,498.157,-2.110,
10.609,2173.677,-2.843,
6.897,1215.741,-8.998,
9.590,756.566,-7.421,
8.014,490.142,-2.011,
11.238,608.849,-6.177,
10.107,2436.786,-5.438,
7.045,2283.091,-3.050,
8.057,2016.715,-3.998,
8.519,1294.749,-3.690,
7.810,2169.683,-2.708,
8.905,542.315,-6.903,
9.052,2169.221,-3.573,
7.022,500.844,-7.055,
8.364,2379.032,-3.128,
8.253,2421.783,-2.351,
8.750,2158.648,-2.850,
6.944,2328.205,-8.282,
6.639,2163.826,-3.018,
7.287,2032.637,-2.303,
11.499,581.069,-2.759,
8.532,1997.420,-6.314,
8.101,2233.114,-4.049,
8.107,558.177,-5.244,
9.420,2273.338,-3.331,
7.991,412.094,-2.444,
7.950,2191.779,-3.110,
5.256,614.783,-3.009,
7.323,1958.643,-6.446,
9.110,496.310,-2.572,
9.843,2503.336,-6.470,
5.667,2559.062,-2.717,
7.727,2076.584,-2.825,
8.949,2331.766,-2.490,
9.052,648.885,-2.945,
5.670,1015.372,-5.680,
9.233,2282.168,-3.006,
8.879,591.529,-6.792,
10.413,2116.115,-3.384,
12.559,2402.860,-3.632,
9.413,1961.830,-6.630,
8.100,468.666,-1.979,
11.405,507.080,-4.023,
9.144,522.424,-1.627,
13.031,2524.310,-3.092,
6.528,556.163,-6.126,
10.444,2074.856,-3.773,
9.910,764.535,-2.886,
9.847,810.521,-7.450,
10.467,634.102,-4.468,
9.277,455.212,-2.559,
8.509,2316.381,-3.150,
11.872,2333.590,-6.083,
8.785,2436.623,-2.368,
10.602,438.343,-2.182,
8.481,460.527,-3.093,
9.337,631.138,-5.526,
10.558,2389.691,-6.708,
12.097,2391.351,-9.268,
10.596,473.397,-3.190,
11.482,2035.171,-5.320,
10.299,2326.681,-3.443,
11.972,2272.664,-10.123,
7.815,370.572,-2.070,
9.066,497.321,-2.314,
7.954,541.535,-2.396,
9.223,2246.595,-3.219,
8.183,383.519,-1.772,
8.300,496.979,-2.553,
10.132,2272.071,-2.179,
9.925,2190.815,-2.782,
9.463,507.544,-2.614,
10.475,623.174,-3.220,
7.982,1970.279,-6.760,
10.203,2271.028,-4.896,
9.265,564.386,-2.656,
10.055,2436.373,-2.643,
6.249,653.199,-2.587,
4.354,573.827,-2.178,
