G_GAN,G_L1,D_loss,G_GAN_ma,G_L1_ma,D_loss_ma
8.21,384.089,-1.635,7.244911292,1575.011847,-4.729679963
6.009,445.839,-1.716,7.183115727,1518.553205,-4.578995965
7.669,889.272,-2.836,7.207409941,1487.089144,-4.491846167
9.284,2289.162,-6.733,7.311239444,1527.192787,-4.603903859
5.754,2238.315,-2.36,7.233377472,1562.748898,-4.491708666
6.645,2126.654,-6.343,7.203958598,1590.944153,-4.584273232
8.083,2383.255,-8.421,7.247910668,1630.559695,-4.776109571
8.438,2406.1,-7.751,7.307415135,1669.336711,-4.924854092
6.069,617.837,-5.792,7.245494378,1616.761725,-4.968211388
7.512,2026.895,-2.74,7.258819659,1637.268389,-4.856800818
6.634,2236.918,-3.493,7.227578676,1667.250869,-4.788610777
7.891,2341.997,-9.091,7.260749742,1700.988176,-5.003730239
6.582,503.754,-2.425,7.226812255,1641.126467,-4.874793727
4.38,521.139,-5.493,7.084471642,1585.127094,-4.90570404
7.988,576.32,-3.47,7.12964806,1534.686739,-4.833918838
8.243,2247.682,-6.291,7.185315657,1570.336502,-4.906772896
7.877,1081.023,-3.297,7.219899874,1545.870827,-4.826284252
8.105,2371.479,-8.098,7.264154881,1587.151236,-4.989870039
9.03,2117.425,-3.667,7.352447137,1613.664924,-4.923726537
7.702,561.475,-2.387,7.36992478,1561.055428,-4.79689021
7.203,507.328,-5.469,7.361578541,1508.369056,-4.8304957
6.407,2534.924,-4.273,7.313849614,1559.696803,-4.802620915
7.13,2017.972,-8.341,7.304657133,1582.610563,-4.979539869
8.331,2294.004,-2.684,7.355974276,1618.180235,-4.864762875
5.958,2304.252,-2.548,7.286075563,1652.483823,-4.748924732
8.439,2437.563,-6.696,7.343721785,1691.737782,-4.846278495
6.316,2156.333,-3.88,7.292335695,1714.967543,-4.79796457
5.826,511.399,-7.299,7.219018911,1654.789116,-4.923016342
4.811,2225.572,-2.934,7.098617965,1683.32826,-4.823565525
6.812,472.733,-2.784,7.084287067,1622.798497,-4.721587249
5.835,2062.277,-2.812,7.021822713,1644.772422,-4.626107886
7.317,552.024,-2.759,7.036581578,1590.135001,-4.532752492
6.243,468.611,-1.76,6.996902499,1534.058801,-4.394114867
7.089,2306.023,-3.878,7.001507374,1572.657011,-4.368309124
8.047,2218.558,-4.705,7.053782005,1604.952061,-4.385143668
8.841,2143.499,-7.835,7.143142905,1631.879407,-4.557636484
6.841,2239.904,-2.431,7.12803576,1662.280637,-4.45130466
5.851,915.817,-2.835,7.064183972,1624.957455,-4.370489427
6.955,480.899,-2.163,7.058724773,1567.754532,-4.260114956
5.863,801.765,-8.826,6.998938534,1529.455056,-4.488409208
6.519,541.506,-5.158,6.974941608,1480.057603,-4.521888748
6.961,2665.741,-3.203,6.974244527,1539.341773,-4.45594431
7.862,2124.136,-6.495,7.018632301,1568.581484,-4.557897095
7.4,2280.667,-3.067,7.037700686,1604.18576,-4.48335224
7.681,2382.913,-7.544,7.069865652,1643.122122,-4.636384628
6.288,500.722,-2.613,7.030772369,1586.002116,-4.535215397
8.138,587.329,-8.356,7.086133751,1536.06846,-4.726254627
8.244,2121.756,-10.007,7.144027063,1565.352837,-4.990291895
5.888,516.295,-5.175,7.08122571,1512.899945,-4.999527301
4.647,506.658,-2.284,6.959514424,1462.587848,-4.863750936
7.634,536.913,-2.449,6.993238703,1416.304106,-4.743013389
7.513,2185.65,-7.727,7.019226768,1454.7714,-4.892212719
8.373,906.693,-3.23,7.08691543,1427.36748,-4.809102083
8.442,2059.896,-7.933,7.154669658,1458.993906,-4.965296979
6.726,590.277,-4.439,7.133236175,1415.558061,-4.93898213
7.651,2093.348,-8.063,7.159124366,1449.447558,-5.095183024
7.586,581.692,-2.401,7.180468148,1406.05978,-4.960473873
8.224,2201.269,-6.519,7.232644741,1445.820241,-5.038400179
7.035,1981.146,-8.763,7.222762504,1472.586529,-5.22463017
6.095,2123.907,-6.103,7.166374379,1505.152553,-5.268548661
6.903,376.067,-2.853,7.15320566,1448.698275,-5.147771228
8.586,1943.703,-8.522,7.224845377,1473.448511,-5.316482667
6.475,548.299,-2.95,7.187353108,1427.191036,-5.198158534
4.75,2177.89,-4.76,7.065485452,1464.725984,-5.176250607
7.672,631.138,-3.398,7.09581118,1423.046585,-5.087338077
8.65,645.303,-2.063,7.173520621,1384.159405,-4.936121173
6.623,543.844,-7.709,7.14599459,1342.143635,-5.074765114
4.732,774.116,-7.021,7.02529486,1313.742253,-5.172076858
7.457,506.934,-2.734,7.046880117,1273.401841,-5.050173016
6.415,472.095,-5.728,7.015286111,1233.336499,-5.084064365
6.076,2263.722,-3.63,6.968321806,1284.855774,-5.011361146
